day,hour,value
20,18,0
20,19,0
20,20,4
20,21,0
20,22,0
20,23,0
20,24,0
21,1,0
21,2,0
21,3,1
21,4,0
21,5,0
21,6,5
21,7,3
21,8,0
21,9,0
21,10,0
21,11,0
21,12,356
21,13,790.5
21,14,3
21,15,130847
21,16,112094
21,17,1470114
21,18,12.5
21,19,0
21,20,0
21,21,33
21,22,0
21,23,242345
21,24,0
22,1,1447440.5
22,2,391586.5
22,3,200
22,4,0
22,5,3
22,6,0
22,7,0
22,8,0
22,9,2.5
22,10,4
22,11,2
22,12,122
22,13,608.5
22,14,0
22,15,0
22,16,0
22,17,2
22,18,0
22,19,0
22,20,0
22,21,0
22,22,0
22,23,0
22,24,0
23,1,116
23,2,314
23,3,50
23,4,4
23,5,1
23,6,2.5
23,7,0
23,8,0
23,9,0
23,10,0
23,11,15.5
23,12,481
23,13,0
23,14,242
23,15,137
23,16,0
23,17,0
23,18,0
23,19,0
23,20,0
23,21,0
23,22,0
23,23,3
23,24,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,32.5
24,12,2
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
24,20,0
24,21,0
24,22,0
24,23,0
24,24,2.5
25,1,0
25,2,0
25,3,0
25,4,2.5
25,5,0
25,6,4
25,7,13
25,8,0
25,9,0
25,10,0
25,11,17
25,12,0
25,13,0
25,14,0
25,15,0
25,16,0
25,17,0
25,18,0
25,19,4
25,20,2
25,21,0
25,22,1
25,23,
25,24,
26,1,0
26,2,0
26,3,5
26,4,4
26,5,0
26,6,0
26,7,0
26,8,2
26,9,3
26,10,0
26,11,0
26,12,1
26,13,3
26,14,0
26,15,0
26,16,0
26,17,0
26,18,0
26,19,0
26,20,0
26,21,0
26,22,0
26,23,63.5
26,24,68
27,1,4
27,2,7
27,3,900440.5
27,4,1085648
27,5,0
27,6,0
27,7,0
27,8,0
27,9,0
27,10,0
27,11,0
27,12,2.5
27,13,163554
27,14,1670852.5
27,15,164547.5
27,16,0
27,17,0
27,18,0
27,19,20
27,20,1
27,21,0
27,22,0
27,23,0
27,24,8079
28,1,1490956
28,2,619029.5
28,3,3
28,4,0
28,5,0
28,6,0
28,7,16
28,8,0
28,9,0
28,10,0
28,11,0
28,12,0
28,13,264325
28,14,916056
28,15,0
28,16,12
28,17,0
28,18,0
28,19,7
28,20,3
28,21,0
28,22,6
28,23,1
28,24,5
29,1,347
29,2,44
29,3,603
29,4,329
29,5,509
29,6,0
29,7,0
29,8,0
29,9,2
29,10,0
29,11,0
29,12,583
29,13,29
29,14,2.5
29,15,5
29,16,10
29,17,0
29,18,0
29,19,0
29,20,0
29,21,0
29,22,398
29,23,577
29,24,4
30,1,2.5
30,2,0
30,3,3
30,4,2.5
30,5,0
30,6,2
30,7,0
30,8,0
30,9,2.5
30,10,0
30,11,66.5
30,12,591
30,13,3
30,14,0
30,15,2
30,16,3
30,17,0
30,18,2.5
30,19,422
30,20,0
30,21,0
30,22,2
30,23,0
30,24,4.5
31,1,5
31,2,0
31,3,8
31,4,0
31,5,0
31,6,0
31,7,0
31,8,606
31,9,172
31,10,0
31,11,23.5
31,12,7
31,13,0
31,14,0
31,15,0
31,16,0
31,17,0
31,18,0
31,19,3
31,20,0
31,21,5.5
31,22,0
31,23,245
31,24,0
32,1,3
32,2,0
32,3,0
32,4,0
32,5,0
32,6,0
32,7,0
32,8,0
32,9,0
32,10,0
32,11,0
32,12,5.5
32,13,0
32,14,0
32,15,2
32,16,4
32,17,0
32,18,0
32,19,0
32,20,3
32,21,1
32,22,0
32,23,1
32,24,0
33,1,2
33,2,0
33,3,2
33,4,0
33,5,0
33,6,2
33,7,1
33,8,0
33,9,0
33,10,0
33,11,0
33,12,0
33,13,0
33,14,0
33,15,269
33,16,421243.5
33,17,369296
33,18,316
33,19,308
33,20,62
33,21,0
33,22,0
33,23,0
33,24,0
34,1,146.5
34,2,152
34,3,0
34,4,0
34,5,0
34,6,4
34,7,0
34,8,0
34,9,0
34,10,14
34,11,0
34,12,0
34,13,3
34,14,0
34,15,0
34,16,17
34,17,276
34,18,2
34,19,0
34,20,4
34,21,0
34,22,0
34,23,7
34,24,1
35,1,3
35,2,0
35,3,0
35,4,0
35,5,0
35,6,0
35,7,2
35,8,0
35,9,2.5
35,10,0
35,11,152954
35,12,128
35,13,955518.5
35,14,520366
35,15,582.5
35,16,431
35,17,233245
35,18,0
35,19,1179829.5
35,20,559270
35,21,1334950
35,22,443492.5
35,23,770842.5
35,24,109.5
36,1,1061.5
36,2,145
36,3,0
36,4,0
36,5,0
36,6,0
36,7,0
36,8,0
36,9,44
36,10,0
36,11,10
36,12,2.5
36,13,0
36,14,211
36,15,0
36,16,0
36,17,0
36,18,7.5
36,19,0
36,20,1
36,21,1
36,22,0
36,23,260.5
36,24,265.5
37,1,0
37,2,0
37,3,362
37,4,865
37,5,77
